project,year,lender,debt_amount_usd,country,investment_sector
"Jerada Coal Power Plant (1X350MW=350MW), Eximbank loan, 305 million",2014,CHEXIM,305000000,Morocco,Power
"Grand Poubara Hydropower Project 160MW, Phase I",2008,CHEXIM,318000000,Gabon,Power
"28km Dakar Loop Power Transmission Projects, 4x90kV (360kV), Phase I",2007,CHEXIM,51000000,Senegal,Power
"Nyabarongo River Dam II, 224MW; 110kV Evacuation Transmission Line",2020,CHEXIM,214000000,Rwanda,Power
Gouina Hydropower Project 140MW,2013,CHEXIM,145000000,Mali,Power
Gouina Hydropower Project 140MW-Mauritania portion,2013,CHEXIM,139000000,Mauritania,Power
N'Djamena 90kV Ring Transmission Line & N'Djamena - Djarmaya Refinery 60kv Transmission Line,2012,CHEXIM,130000000,Chad,Power
Hirgigo Thermal Power Plant Upgrade 2X23MW (46MW),2014,CHEXIM,100000000,Eritrea,Power
Ha Ramarothole Solar Energy Project Mafeteng Phase I 30 MW,2020,CHEXIM,79000000,Lesotho,Power
"259km SORAZ-Zinder et Maradi-Malbaza Transmission Line, 132kV",2013,CHEXIM,76000000,Niger,Power
Sokode Electric Transformer Station,2013,CHEXIM,25000000,Togo,Power
"90km Nagad-HollHoll-AliSabieh Power Line, 63 KV, Phase II",2016,CHEXIM,20000000,Djibouti,Power
Boali No.3 Hydropower Project 10MW,2011,CIDCA,18000000,Central African Republic,Power
Financing for Central Electricity Board,2011,CHEXIM,6000000,Mauritius,Power
"Goma Hydropower Project Repairs in Dodo chiefdom Kenema District, Guala Village- 4X1.5MW",2004,"China National Electric Engineering Co., Ltd. (CNEEC)",3000000,Sierra Leone,Power
Sonangol Development,2011,CDB,2000000000,Angola,Mining
Purchase of 10% Stake in Husab Uranium Mine,2012,Swakop Uranium (SU),223000000,Namibia,Mining
Azelik Uranium Mine,2011,CHEXIM,103000000,Niger,Mining
Kenya Nationwide Airborne Geophysical Survey,2017,CHEXIM,68000000,Kenya,Mining
Zeregbo Gold Mining Development,2001,CHEXIM,1000000,Cote d'Ivoire,Mining
Geo-chemical map of Goulmim-Asmara,2002,CIDCA,1000000,Morocco,Mining
"Millenium Plan Telecom Project Phase I, II, III",2006,Zhongxing Telecommunication Equipment Corporation (ZTE),1000000000,Ethiopia,ICT
ALCATEL Nigerian Local Government Rural Telephony Project,2002,"Alcatel-Lucent Shanghai Bell Co., Ltd.",78000000,Nigeria,ICT
"300,000 CDMA Lines",2007,CHEXIM,48000000,Cameroon,ICT
Optic Fibre Cable Phase I,2005,CITIC,8000000,Zambia,ICT
TPA Production Center in Camama Construction and Equipping,2005,CHEXIM,60000000,Angola,ICT
National Communication Backbone Infrastructural Project Phase I,2006,CHEXIM,30000000,Ghana,ICT
National Telecom Phase II,2006,CHEXIM,63000000,Republic of Congo,ICT
Rural Telecommunications Development Project,2006,CHEXIM,25000000,Kenya,ICT
Coverage for District Landline Telephone Headquarters,2010,CHEXIM,21000000,Mozambique,ICT
NetOne Telecom Network Expansion Phase I,2010,CHEXIM,48000000,Zimbabwe,ICT
E-government Information Network Phase I,2006,CHEXIM,50000000,Senegal,ICT
Establishing Joint-Venture Congo China Telecom,2000,CHEXIM,10000000,Democratic Republic of Congo,ICT
Sotelgui Telecoms Equipment and Network Expansion,2005,"Huawei Technologies Co., Ltd.",33000000,Guinea,ICT
National ICT Backbone Project (NICTBB) Phase I,2008,CHEXIM,77000000,Tanzania,ICT
Fiber Optics and Telecom Modernization Project,2011,CHEXIM,44000000,Mali,ICT
CDMA 2000 Telecommunications Network in 27 Municipalities,2007,CHEXIM,25000000,Chad,ICT
Rollout of 4G network and transmission system,2018,"Huawei Technologies Co., Ltd.",200000000,Egypt,ICT
National Backbone Project,2019,BoC,77000000,Burkina Faso,ICT
GSM Mobile Cellular Network and Conventional CDMA Network Extensions,2005,ICBC,59000000,Benin,ICT
Telecom Network Expansion Phase 1,2004,CHEXIM,42000000,Togo,ICT
Telecommunications Infrastructure,2010,CHEXIM,32000000,Comoros,ICT
Maison de la Radiodiffusion Télévision Gabonaise (RTG) headquarter,2007,CIDCA,4000000,Gabon,ICT
New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 1,2001,CIDCA,2000000,Mauritius,ICT
National Backbone Data Transmission Project I,2007,CHEXIM,31000000,Uganda,ICT
Fiber-optic Backbone,2013,CHEXIM,103000000,Niger,ICT
Grand Bassam E-government Data Center,2007,CHEXIM,30000000,Cote d'Ivoire,ICT
"Bujumbara Metropolitan Area Telecom Network, 220km of Optical Fibre",2014,CHEXIM,15000000,Burundi,ICT
Sierra Leone Rural and Sub-urban Telecommunication CDMA Network Project,2006,CHEXIM,17000000,Sierra Leone,ICT
Mobile and Fixed Network,2005,Zhongxing Telecommunication Equipment Corporation (ZTE),60000000,Central African Republic,ICT
Econet Telecom Lesotho National Network Project Phase I,2008,CHEXIM,30000000,Central African Republic,ICT
Telecommunications Modernization Project,2020,CHEXIM,49000000,Madagascar,ICT
Tunisie Telecom Project - network switches,2004,CHEXIM,17000000,Tunisia,ICT
E-government Phase I - National Data Center,2010,CHEXIM,17000000,Cape Verde,ICT
National Telecom Mobile Expansion,2003,CHEXIM,12000000,Djibouti,ICT
Gambia National Broadband Network Project,2018,CHEXIM,25000000,The Gambia,ICT
National Fiber Backbone,2016,CHEXIM,23000000,Malawi,ICT
"Asmara, CDMI Telecom Phase I",2006,CHEXIM,21000000,Eritrea,ICT
IT system for education and administration,2010,CN Gov,10000000,Sudan,ICT
Headquarters for the National Radio and Television Network (RTVGE) in Malabo,2002,CIDCA,6000000,Equatorial Guinea,ICT
E-government software (government Record and Management upgrade),2008,CHEXIM,4000000,Namibia,ICT
Luanda's Water Supply System,2005,CHEXIM,40000000,Angola,Water
Douala Water Supply Project Treatment Plant - Phase I,2007,CHEXIM,25000000,Cameroon,Water
Water equipment from Bushan Company,2003,CN Gov,10000000,Sudan,Water
Lusaka-Kafue Bulk Water Supply,2016,CHEXIM,128000000,Zambia,Water
Abidjan Bonoua Water Supply Phase I,2012,CHEXIM,97000000,Cote d'Ivoire,Water
Greater Abuja Water Supply Project,2018,CHEXIM,389000000,Nigeria,Water
Malabo Sewage Treatment Project,2009,China Gezhouba Group Corporation (CGGC),132000000,Equatorial Guinea,Water
Addis Ababa Deep Well Water Supply Project III,2011,CHEXIM,96000000,Ethiopia,Water
Djibouti-Ethiopia Water Pipeline,2013,CHEXIM,322000000,Djibouti,Water
Kpong Water Supply Project,2011,CHEXIM,260000000,Ghana,Water
"Djiri, Drinking Water Supply Projects",2009,CHEXIM,259000000,Republic of Congo,Water
Karimenu Dam Water Supply Project,2017,CHEXIM,201000000,Kenya,Water
Harare City Water Reticulation,2012,CHEXIM,144000000,Zimbabwe,Water
Plaines Wilhems Sewage Project Phase I,2000,CHEXIM,18000000,Mauritius,Water
"Collines Province, Drinking Water Supply",2017,CHEXIM,93000000,Benin,Water
"Building and Rehabilitating 251 wells in 13 districts, 1800km pipeline",2016,CHEXIM,79000000,Senegal,Water
Potable Water Project Near Zinder,2012,CHEXIM,50000000,Niger,Water
Construction Project of the Water Collection and Treatment Unit in Kamina in Katanga,2016,CHEXIM,10000000,Democratic Republic of Congo,Water
"Ifrane, Chefchaouen and Al-Hoceima irrigation dam projects, Eximbank tranche, total 6 million",2002,CHEXIM,6000000,Morocco,Water
Dodoma Water Project,2002,CIDCA,4000000,Tanzania,Water
Mahe Island Sewer & Water System,2007,CHEXIM,1000000,Seychelles,Water
Economic Housing Project,2003,CIDCA,11000000,Angola,Other social
"Malabo, Bata, and Ruba- 4,800 Units of Social Housing",2007,CHEXIM,380000000,Equatorial Guinea,Other social
"""815""/""August 15"" Social Housing Complex - 200 Units",2006,CHEXIM,45000000,Republic of Congo,Other social
"Kansonyah Social Housing - 50,000 units",2018,CHEXIM,255000000,Guinea,Other social
Friendship Stadium Finishing Stages,2011,CIDCA,8000000,Gabon,Other social
"Bingu International Conference Center, The Presidential Hotel and Presidential Villas",2009,CHEXIM,92000000,Malawi,Other social
Levy Mwanawasa Stadium in Ndola,2009,CIDCA,68000000,Zambia,Other social
Bafoussam Onmisports Stadium (Kouekong Stadium) Construction,2009,CHEXIM,28000000,Cameroon,Other social
Concorde Residences Phase II,2010,CHEXIM,61000000,Cote d'Ivoire,Other social
Zimpeto National Stadium in Maputo,2008,CIDCA,70000000,Mozambique,Other social
Cairo International Convention Center,2006,CHEXIM,61000000,Egypt,Other social
Kasane BHC houses - 86 Houses,2000,CHEXIM,2000000,Botswana,Other social
"Antananarivo, The Golden Peacock Five-Star Hotel",2007,CHEXIM,53000000,Madagascar,Other social
Bunia Stadium,2015,CHEXIM,10000000,Democratic Republic of Congo,Other social
Enugu Housing - 72 Units,2017,ICBC,43000000,Nigeria,Other social
Low-cost Housing Construction - 1500 Units,2002,CHEXIM,12000000,Mauritius,Other social
"Great Wall Apartments Phase I, Lower and Medium Income Family Housing, 528 Apartment Units",2007,CDB,17000000,Kenya,Other social
Brilliant Housing - 44 Units,2005,CHEXIM,1000000,Seychelles,Other social
Cotonou Conference Center,2001,CIDCA,16000000,Benin,Other social
Mwalimu Julius Nyerere Convention Centre,2012,CIDCA,15000000,Tanzania,Other social
Barthélemy Boganda Stadium in Bangui,2002,CIDCA,9000000,Central African Republic,Other social
Lesotho National Convention Centre Maintenance Project and other social projects,2012,CIDCA,8000000,Lesotho,Other social
Gobabis and Grootfontein - 400 Houses,2018,CIDCA,8000000,Namibia,Other social
International Conference Hall,2003,CHEXIM,4000000,Sudan,Other social
"Cabinda's Integrated Infrastructure, Phase I",2007,CHEXIM,73000000,Angola,Multisector
151 Multisector Infrastructure Projects,2016,CDB,600000000,Kenya,Multisector
"Machinery Supply for the Mining, Agriculture, Transport & Infrastructure Industries, Phase I",2011,CHEXIM,100000000,Eritrea,Multisector
Unknown (equipment),2000,CHEXIM,7000000,Zimbabwe,Multisector
KCC Road Unit and Sanitary Equipment,2009,CHEXIM,10000000,Uganda,Multisector
SKD Sports Complex Renovations and other projects,2006,CIDCA,5000000,Liberia,Multisector
Awassa Textile Plant Equipment Upgrade,2001,CIDCA,1000000,Ethiopia,Industry
Baoare Cement Factory,2007,CHEXIM,96000000,Chad,Industry
SORAZ Oil Refinery Near Zinder,2008,CHEXIM,352000000,Niger,Industry
Solar-powered Milling Plant,2016,CDB,170000000,Zambia,Industry
Gedem Cement Factory,2007,CHEXIM,48000000,Eritrea,Industry
PK24 Industrial Zone Project in Abidjan Phase 1,2019,BoC,97000000,Cote d'Ivoire,Industry
Cement Factory,2000,CHEXIM,18000000,Mali,Industry
Chokwe Agro-Processing Complex,2012,CHEXIM,60000000,Mozambique,Industry
"Lutete, Cement Factory",2000,CHEXIM,24000000,Republic of Congo,Industry
Minibuses for Senbus and Bus assembly Production,2009,CHEXIM,23000000,Senegal,Industry
Engineering Equipment (Camco Co.),2005,CHEXIM,13000000,Sudan,Industry
Refurbishing of a Polyester Factory owned by Egypt Cotton Holdings Company,2005,CHEXIM,16000000,Egypt,Industry
Engineering Machinery; Included in Rehabilitation Process of the State-owned Civil Engineering Equipment Pool (MATGENIE),2010,CHEXIM,14000000,Cameroon,Industry
Benin Textile Company JV,2000,CHEXIM,9000000,Benin,Industry
"Kisangani, Factory to Build Prefabricated Houses (14,400 sqr m)",2011,CHEXIM,8000000,Democratic Republic of Congo,Industry
Northern Tannery and Leather Project,2000,CHEXIM,1000000,Namibia,Industry
"Xian MA-60 Airliners Aircrafts Purchase - 2 Units, Harbin Y-12 Cargo Planes Purchase - 12 Units",2006,CHEXIM,56000000,Zambia,Defense
Armed Forces and Police Barracks - 40 Units,2003,CIDCA,4000000,Ghana,Defense
Military Equipment to MINDEF,2012,CHEXIM,333000000,Cameroon,Defense
Military Residential House,2013,CHEXIM,285000000,Tanzania,Defense
Purchase of 12 K-8 Jet Trainer Aircraft,2006,China National Aero-Technology Import and Export Corporation (CATIC),150000000,Zimbabwe,Defense
Military Equipment,2003,CN Gov,106000000,Sudan,Defense
Sierra Leone's National Security Network,2011,CHEXIM,16000000,Sierra Leone,Defense
Okahandja Defense Academy Project,2009,CIDCA,9000000,Namibia,Defense
New Cairo City Central Business District,2019,"MixedCN: CHEXIM, Industrial and Commercial Bank of China, Bank of China, Minsheng Bank, China CITIC Bank, Construction Bank, Kuwait National Bank, and HSBC",2000000000,Egypt,Government
"Bata, Design/Construction of a New Office Building for the Ministry of Foreign Affairs",2007,CIDCA,4000000,Equatorial Guinea,Government
Procurement of Equipment for National Youth Service (NYS),2008,CHEXIM,57000000,Kenya,Government
Foreign Ministry Office Building,2001,CIDCA,11000000,Mozambique,Government
Luanda Palace of Justice Courthouse,2005,CHEXIM,37000000,Angola,Government
"Esplanade in front of the People's Palace in Kinshasa Refurbishment, 24380 sqr m",2009,CHEXIM,20000000,Democratic Republic of Congo,Government
Dedicated Security Information System Phase I,2007,CHEXIM,30000000,Ghana,Government
Kamwala Government Complex in Lusaka Completion,2002,CIDCA,8000000,Zambia,Government
Cotonou Administrative Towers,2010,CHEXIM,32000000,Benin,Government
Fire Brigade Equipment,2016,CHEXIM,32000000,Senegal,Government
Presidential Palace,2008,CIDCA,15000000,Sudan,Government
"Libreville, Omar Bongo Ondimba Palace Senate Building Construction",2001,CIDCA,7000000,Gabon,Government
Rwandan State House,2005,CIDCA,2000000,Rwanda,Government
SMEs,2012,CDB,200000000,Egypt,Banking
"TDB: Telecommunication, Mining, Infrastructure and Other Key Sectors",2008,CDB,50000000,Regional,Banking
SMEs,2012,CDB,25000000,Ethiopia,Banking
SMEs,2015,CDB,30000000,Zambia,Banking
BOAD: Commercial Sector Projects Refinancing,2011,CDB,78000000,Regional,Unallocated
Unknown,2000,CIDCA,3000000,Morocco,Unallocated
Unknown,2000,CIDCA,6000000,Gabon,Unallocated
Unknown,2001,CIDCA,4000000,Sudan,Unallocated
"Loan for ""Critical Areas that Need Funds""",2008,CIDCA,3000000,Zimbabwe,Unallocated
Economic and Technology Cooperation,2004,CIDCA,4000000,Cameroon,Unallocated
Unknown,2003,CIDCA,4000000,Rwanda,Unallocated
Unknown,2011,CIDCA,8000000,Mali,Unallocated
Unknown,2010,CIDCA,5000000,Ethiopia,Unallocated
Construction Project,2001,CIDCA,2000000,Mauritius,Unallocated
Unknown,2002,CIDCA,12000000,Egypt,Unallocated
Unknown,2008,CIDCA,3000000,Burundi,Unallocated
Poverty Alleviation Program,2006,CIDCA,7000000,Mauritania,Unallocated
Unknown,2005,CIDCA,1000000,Democratic Republic of Congo,Unallocated
Unknow purpose Concessional Loan,2001,CHEXIM,12000000,Zambia,Unallocated
"Unknown (""Accelerate Peace Process"")",2005,CIDCA,2000000,Cote d'Ivoire,Unallocated
Unknown,2003,CIDCA,6000000,Guinea,Unallocated
Unknown,2006,CIDCA,4000000,Benin,Unallocated
Unknown,2011,CIDCA,16000000,Uganda,Unallocated
Unknown,2006,CIDCA,10000000,Tanzania,Unallocated
Unknown,2001,CIDCA,4000000,Republic of Congo,Unallocated
Unknown,2009,CIDCA,4000000,Togo,Unallocated
Interest-Free Loan,2004,CIDCA,5000000,Equatorial Guinea,Unallocated
Economic and Technical Cooperation,2010,CIDCA,6000000,Kenya,Unallocated
Unallocated,2001,CIDCA,2000000,Namibia,Unallocated
Unknown,2009,CIDCA,3000000,Djibouti,Unallocated
Unknown,2010,CIDCA,2000000,Mozambique,Unallocated
Economic Cooperation Loan,2002,CIDCA,3000000,Algeria,Unallocated
Unknown,2001,CIDCA,2000000,Botswana,Unallocated
Unknown,2011,CIDCA,8000000,Lesotho,Unallocated
Social and Economic Development Projects,2003,CIDCA,3000000,Central African Republic,Unallocated
"Unknown (""Technical Projects"")",2005,CIDCA,6000000,Angola,Unallocated
"Unknown, Technical Cooperation",2009,CIDCA,6000000,Ghana,Unallocated
Multisectoral Projects,2008,CN Gov,4000000,Madagascar,Unallocated
Unknown,2009,CIDCA,4000000,Senegal,Unallocated
Unknown,2008,CIDCA,3000000,Cape Verde,Unallocated
Unknown,2000,CIDCA,3000000,Tunisia,Unallocated
"Agricultural Equipment, Machinery and Tools Purchase",2004,CHEXIM,20000000,Angola,Agriculture
New Amri Agricultural Scheme - Merowe Resettlement,2003,CN Gov,38000000,Sudan,Agriculture
"Agricultural Equipment, Pesticides, Fertilizer, etc.",2006,CHEXIM,200000000,Zimbabwe,Agriculture
Construction of Eleven Coastal Fishing Landing Sites Project,2019,CDB,186000000,Ghana,Agriculture
"Agro-processing Centers in Manica (cotton), Tete (cornmeal), Zambeze (rice)",2009,CHEXIM,30000000,Mozambique,Agriculture
Integrated Marine Industrial Park and Capital Fishing Port Projects,2019,CHEXIM,87000000,Mauritania,Agriculture
Small industrial/farming projects,2005,CIDCA,6000000,Namibia,Agriculture
Food Reserve Agency (FRA) Storage Sheds,2009,CHEXIM,12000000,Zambia,Agriculture
Bolster foreign exchange reserves,2016,CDB,900000000,Egypt,Budget
"TDB: Trade, Project and Infrastructure Finance, Treasury",2017,CHEXIM,250000000,Regional,Budget
3-Year Syndicated Term Loan to support foreign currency position - CCB,2001,CCB,36000000,South Africa,Budget
Bolster Foreign Exchange Reserves,2015,CDB,200000000,Tanzania,Budget
Civil Servant Salaries,2003,CIDCA,2000000,Central African Republic,Budget
"Andulo, Bié and Caála, Huambo, Construction of 2 Agrarian Technical Schools",2005,CHEXIM,41000000,Angola,Education
FTJ Chiluba University Construction in Mansa,2018,Other CN Financing: Industrial Bank,191000000,Zambia,Education
Rehabilitation And Upgrading Of Equipment In The Universities And Technical Training Institutes Project,2011,CHEXIM,31000000,Kenya,Education
E-National Higher Education Network,2016,CHEXIM,135000000,Cameroon,Education
"Upgrading of Polytechnics, Technical and Vocational Training Centers",2018,CHEXIM,119000000,Ghana,Education
Construction and Equipment for Three Professional Traning and Development Centers,2015,CHEXIM,101000000,Gabon,Education
"National Science, Technology and Engineering Skills Development Project",2019,CHEXIM,85000000,Uganda,Education
"Thyolo, Malawi Science and Technology University",2011,CHEXIM,79000000,Malawi,Education
Mpila High School,2013,CHEXIM,66000000,Republic of Congo,Education
University Sine Saloum El-Hadj Ibrahima Niass (USSEIN),2018,ICBC,45000000,Senegal,Education
Reinfontein National Youth Training Centre phase I,2007,CIDCA,15000000,Namibia,Education
Baie Lazare Primary School and Creche Projects,2005,CHEXIM,1000000,Seychelles,Education
Interbank Loan,2016,CDB,700000000,Egypt,Business
Mpila Commercial Zone (Brazza-Mall),2014,CHEXIM,62000000,Republic of Congo,Business
Djibouti Free Trade Zone,2017,China Merchants Port Holdings Company Limited (CMPort),150000000,Djibouti,Business
Hotel Luanda Reconstruction,2013,CHEXIM,20000000,Angola,Business
"BOAD: Financing for Economic Cooperation, Investment, and Business Cooperation with China",2006,CHEXIM,92000000,Regional,Business
Cape Coast Kotokuraba Market Project,2012,CHEXIM,32000000,Ghana,Business
"Quatre-Bornes, New Market",2000,CIDCA,2000000,Mauritius,Business
Luanda Hospital,2002,CIDCA,6000000,Angola,Health
Kenyatta University Teaching and Referral Hospital,2011,CHEXIM,123000000,Kenya,Health
Mobile Hospital Project,2010,CHEXIM,47000000,Zambia,Health
"Kinshasa, Bed Construction in Hopital du Cinquantenaire - 450 beds (40,000 sqr m)",2008,CHEXIM,115000000,Democratic Republic of Congo,Health
"Mahusekwa, Hospital and Supply of Medical Drugs",2010,CIDCA,2000000,Zimbabwe,Health
Oyo General Hospital and Hospital Road,2006,CHEXIM,15000000,Republic of Congo,Health
6 Health Clinics,2001,CHEXIM,13000000,Morocco,Health
"Asmara, Orotta Hospital Construction",2000,CIDCA,10000000,Eritrea,Health
Victoria Hospital New Operation Theatre - Loan 1,2009,CIDCA,6000000,Mauritius,Health
Douala Gyneco-Obstetric and Pediatric Hospital,2007,CIDCA,7000000,Cameroon,Health
"Praia, Agostinho Neto Hospital New Maternity Ward",2006,CIDCA,3000000,Cape Verde,Health
"Libreville Friendship Hospital Construction, Franceville Friendship Hospital Repais, Liberville Chinese Medical Camp",2005,CIDCA,3000000,Gabon,Health
Non-intrusive Container Scanning Equipment,2009,CHEXIM,46000000,Zambia,Trade
Custom Scanning Machines for Namibia Customs and Excise Department,2007,CHEXIM,44000000,Namibia,Trade
"Container/Vehicle Inspection Systems Project, 51 Machines",2010,CHEXIM,26000000,Ethiopia,Trade
Container Scanners Purchase - 13 Units,2008,CHEXIM,13000000,Cape Verde,Trade
Customs Inspections Machines,2009,CIDCA,6000000,Central African Republic,Trade
Economic Assistance Loan - Container Inspection Equipment,2002,CIDCA,2000000,Mauritius,Trade
Afreximbank: Trade and Project Finance,2009,CHEXIM,100000000,Regional,Other commodity
Food Research Facility in Kampala,2001,CIDCA,40000000,Uganda,Food
Food Security Development,2010,CIDCA,6000000,Eritrea,Food
Breakwater at Cabinda Port,2016,CDB,38000000,Angola,Environment
Road Transport Support,2004,CHEXIM,12000000,Angola,Transportation
"Kipsigak-Serem-Shamakhokho Road, 54km, Loan 3",2002,CIDCA,6000000,Kenya,Transportation
"Meskere Sq-Bole Road, 4.3km",2011,CHEXIM,70000000,Ethiopia,Transportation
"Abuja Light Rail Project, 78km",2012,CHEXIM,500000000,Nigeria,Transportation
Special Train Loan - TAZARA,2002,CIDCA,6000000,Zambia,Transportation
"Brazzaville, Ollombo Airport Modernization",2006,CHEXIM,53000000,Republic of Congo,Transportation
Yaoundé-Douala Highway - Phase I,2012,CHEXIM,483000000,Cameroon,Transportation
